"id","nationality"
"Nogueiras","No Data"
"Rustemov","Russia"
"Lutz","Germany"
"Wohl","No Data"
"Speelman","England"
"Minasian","No Data"
"Labib","No Data"
"Utnasunov","No Data"
"Piket","No Data"
"Blehm","No Data"
"Stefansson","Iceland"
"Rytshagov","No Data"
"Onischuk","Ukraine"
"Bagheri","Monaco"
"Tregubov","France"
"Kveinys","No Data"
"Hansen","Canada"
"Peng Xiaomin","No Data"
"Wahls","Germany"
"Andersson","Sweden"
"Antonio","Philippines"
"Akesson","Sweden"
"Ricardi","No Data"
"Shaked","No Data"
"Bouaziz","Tunisia"
"Spraggett","Canada"
"Zubarev","No Data"
"Feldman","No Data"
"Chiburdanidze","No Data"
"Fridman","Germany"
"Mohamed","No Data"
"Nijboer","Netherlands"
"Rozentalis","Lithuania"
"Cela","No Data"
"Becerra Rivero","No Data"
"Bauer","France"
"De Firmian","No Data"
"Dizdar","No Data"
"Djuric","Serbia"
"Babula","Czech Republic"
"Zelcic","Croatia"
"Kozak","Hungary"
"Magem Badals","No Data"
"Miles","No Data"
"Reinderman","Netherlands"
"Rodriguez","Cuba"
"Timman","Netherlands"
"Kamsky","United States"
"Kortschnoj","No Data"
"Salov","No Data"
"Sadler","No Data"
"Alterman","No Data"
"Giorgadze","Georgia"
"Glek","Belgium"
"Fominyh","Russia"
"Hjartarson","Iceland"
"Gretarsson","Iceland"
"Hoeksema","No Data"
"Malaniuk","No Data"
"Petursson","Iceland"
"Slobodjan","Germany"
"Seirawan","United States"
"Sutovskij","No Data"
"Smyslov","No Data"
"Van der Wiel","No Data"
"Umgaev","No Data"
"Wells","England"
"Wang Zili","No Data"
"Oll","No Data"
"Nenashev","No Data"
"Murshed","Bangladesh"
"Van der Sterren","No Data"
"Miladinovic","Serbia"
"Lerner","No Data"
"Portisch","No Data"
"Istratescu","Romania"
"Illescas Cordoba","No Data"
"Hracek","Czech Republic"
"Granda Zuniga","No Data"
"Garcia","Spain"
"Kurajica","Croatia"
"Kindermann","Austria"
"Jussupow","No Data"
"Epishin","Russia"
"Spassky","No Data"
"Fischer","No Data"
"Petrosian","Armenia"
"Botvinnik","No Data"
"Tal","No Data"
"Bronstein","No Data"
"Euwe","No Data"
"Keres","No Data"
"Reshevsky","No Data"
"Alekhine","No Data"
"Bogoljubow","No Data"
"Capablanca","No Data"
"Lasker","No Data"
"Schlechter","No Data"
"Janowsky","No Data"
"Tarrasch","No Data"
"Marshall","No Data"
"Steinitz","No Data"
"Chigorin","No Data"
"Gunsberg","No Data"
"Zukertort","No Data"
"Karlov","No Data"
