"Id","Appearances","Nationality"
"Umgaev",1,"No Data"
"Wells",1,"No Data"
"Wang Zili",1,"No Data"
"Oll",3,"No Data"
"Nenashev",2,"No Data"
"Murshed",1,"Bangladesh"
"Van der Sterren",1,"No Data"
"Miladinovic",2,"Serbia"
"Lerner",1,"No Data"
"Portisch",1,"No Data"
"Istratescu",2,"No Data"
"Illescas Cordoba",1,"No Data"
"Hracek",2,"No Data"
"Granda Zuniga",2,"No Data"
"Garcia",2,"Spain"
"Kurajica",1,"No Data"
"Kindermann",2,"No Data"
"Jussupow",2,"No Data"
"Epishin",2,"No Data"
"Spassky",2,"No Data"
"Fischer",1,"No Data"
"Petrosian",2,"No Data"
"Botvinnik",7,"No Data"
"Tal",1,"No Data"
"Bronstein",1,"No Data"
"Euwe",5,"No Data"
"Keres",4,"No Data"
"Reshevsky",4,"No Data"
"Alekhine",3,"No Data"
"Bogoljubow",1,"No Data"
"Capablanca",2,"No Data"
"Lasker",6,"No Data"
"Schlechter",1,"No Data"
"Janowsky",1,"No Data"
"Tarrasch",1,"No Data"
"Marshall",1,"No Data"
"Steinitz",4,"No Data"
"Chigorin",1,"No Data"
"Gunsberg",1,"No Data"
"Zukertort",1,"No Data"
"Karlov",1,"No Data"
